Gammal kod	Gammalt namn	Ny kod	Nytt namn	Hel/Del	Datum ikraftträdande	Ändringstyp	Ändring
012601	Huddinge	012604	Flemingsberg	Del	1989-01-01	13	Ger delar till nybildade
012602	Trångsund	012602	Trångsund-Skogås	Hel	2012-01-01	40	Namnändrad (ej kodändrad)
012701	Botkyrka	012701	Botkyrka	Hel	2006-01-01	15	Utvidgas
012701	Botkyrka	012703	Tumba	Del	1974-01-01	12	Ger del till nybildad
012703	Tumba	012705	Tullinge	Del	1992-01-01	12	Ger del till nybildad
012703	Tumba	012701	Botkyrka	Hel	2006-01-01	10	Upphör; till befintlig
012704	Salem	012801	Salem	Hel	1983-01-01	21	Kodändrad; ny kommuntillhörighet
012705	Tullinge	012701	Botkyrka	Hel	2006-01-01	10	Upphör; till befintlig
012801	Salem	012704	Salem	Hel	1974-01-01	21	Kodändrad; ny kommuntillhörighet
012901	Grödinge	012702	Grödinge	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
013101	Turinge	018105	Turinge	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
013201	Vårdinge	018106	Vårdinge	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
013202	Överjärna	018107	Överjärna	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
013203	Ytterjärna	018108	Ytterjärna	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
013301	Sorunda	019202	Sorunda	Hel	1974-01-01	21	Kodändrad; ny kommuntillhörighet
013401	Torö	019203	Torö	Hel	1974-01-01	21	Kodändrad; ny kommuntillhörighet
013402	Ösmo	019204	Ösmo	Hel	1974-01-01	21	Kodändrad; ny kommuntillhörighet
013501	Västerhaninge	013606	Västerhaninge	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
013502	Muskö	013607	Muskö	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
013603	Utö	013605	Dalarö-Ornö-Utö	Hel	2002-01-01	10	Upphör; till befintlig
013604	Ornö	013605	Dalarö-Ornö-Utö	Hel	2002-01-01	10	Upphör; till befintlig
013605	Dalarö	013605	Dalarö-Ornö-Utö	Hel	2002-01-01	16	Utvidgas och namnändras
013606	Västerhaninge	013606	Västerhaninge-Muskö	Hel	2002-01-01	16	Utvidgas och namnändras
013607	Muskö	013606	Västerhaninge-Muskö	Hel	2002-01-01	10	Upphör; till befintlig
013901	Bro	013901	Bro	Hel	2006-01-01	15	Utvidgas
013901	Bro	013901	Bro	Hel	2010-01-01	15	Utvidgas
013902	Låssa	013901	Bro	Hel	2006-01-01	10	Upphör; till befintlig
013903	Kungsängen	013903	Kungsängen-Västra Ryd	Hel	1998-01-01	16	Utvidgas och namnändras
013904	Västra Ryd	013903	Kungsängen-Västra Ryd	Hel	1998-01-01	10	Upphör; till befintlig
013905	Håbo-Tibble	013901	Bro	Hel	2006-01-01	10	Upphör; till befintlig
013906	Håtuna	013901	Bro	Hel	2010-01-01	10	Upphör; till befintlig
014001	Turinge	014001	Turinge-Taxinge	Hel	2002-01-01	16	Utvidgas och namnändras
014002	Taxinge	014001	Turinge-Taxinge	Hel	2002-01-01	10	Upphör; till befintlig
016201	Danderyd, del	016201	Danderyd	Hel	1971-01-01	16	Utvidgas och namnändras
016401	Saltsjöbaden	018202	Saltsjöbaden	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
018001	Storkyrkoförsamlingen	018001	Stockholms domkyrkoförs.	Hel	1989-01-01	16	Utvidgas och namnändras
018002	Klara	018001	Stockholms domkyrkoförs.	Hel	1989-01-01	10	Upphör; till befintlig
018003	Kungsholm	018018	Kungsholm	Hel	1967-01-01	23	Kodändrad; annat än 20-22
018003	Jakob	018001	Stockholms domkyrkoförs.	Hel	1989-01-01	10	Upphör; till befintlig
018004	S:t Göran	018019	S:t Göran	Hel	1967-01-01	23	Kodändrad; annat än 20-22
018004	Johannes	018004	S:t Johannes	Hel	2002-06-17	40	Namnändrad (ej kodändrad)
018005	Matteus	018007	Matteus	Hel	1967-01-01	23	Kodändrad; annat än 20-22
018007	Adolf Fredrik	018005	Adolf Fredrik	Hel	1967-01-01	23	Kodändrad; annat än 20-22
018007	Matteus	018007	S:t Matteus	Hel	2001-06-18	40	Namnändrad (ej kodändrad)
018008	Johannes	018004	Johannes	Hel	1967-01-01	23	Kodändrad; annat än 20-22
018009	Jakob	018003	Jakob	Hel	1967-01-01	23	Kodändrad; annat än 20-22
018010	Engelbrekt	018009	Engelbrekt	Hel	1967-01-01	23	Kodändrad; annat än 20-22
018011	Hedvig Eleonora	018010	Hedvig Eleonora	Hel	1967-01-01	23	Kodändrad; annat än 20-22
018012	Oskar	018012	Oscar	Hel	1962-01-01	40	Namnändrad (ej kodändrad)
018012	Oscar	018011	Oscar	Hel	1967-01-01	23	Kodändrad; annat än 20-22
018013	Sofia	018017	Sofia	Hel	1967-01-01	23	Kodändrad; annat än 20-22
018014	Katarina	018015	Katarina	Hel	1967-01-01	23	Kodändrad; annat än 20-22
018015	Maria Magdalena	018013	Maria Magdalena	Hel	1967-01-01	23	Kodändrad; annat än 20-22
018016	Högalid	018014	Högalid	Hel	1967-01-01	23	Kodändrad; annat än 20-22
018017	Brännkyrka kbfd	018017	Hägersten	Del	1957-01-01	11	Upphör; till nybildad
018017	Brännkyrka kbfd	018018	Brännkyrka	Del	1957-01-01	11	Upphör; till nybildad
018017	Brännkyrka kbfd	018019	Vantör	Del	1957-01-01	11	Upphör; till nybildad
018017	Brännkyrka kbfd	018020	Enskede	Del	1957-01-01	11	Upphör; till nybildad
018017	Brännkyrka kbfd	018022	Farsta	Del	1957-01-01	11	Upphör; till nybildad
018017	Hägersten	018032	Hägerstens östra kbfd	Hel	1963-01-01	33	Kod- och namnändrad; annat än 30-32
018018	Årsta kbfd	018017	Hägersten	Hel	1957-01-01	11	Upphör; till nybildad
018018	Brännkyrka	018021	Brännkyrka	Hel	1967-01-01	23	Kodändrad; annat än 20-22
018018	Kungsholm	018019	Västermalm	Hel	2014-01-01	10	Upphör; till befintlig
018019	Enskede	018019	Vantör	Del	1957-01-01	11	Upphör; till nybildad
018019	Enskede	018020	Enskede	Del	1957-01-01	11	Upphör; till nybildad
018019	Enskede	018021	Skarpnäck	Del	1957-01-01	11	Upphör; till nybildad
018019	Enskede	018022	Farsta	Del	1957-01-01	11	Upphör; till nybildad
018019	Vantör	018023	Vantör	Hel	1967-01-01	23	Kodändrad; annat än 20-22
018019	S:t Göran	018019	Västermalm	Hel	2014-01-01	16	Utvidgas och namnändras
018020	Bromma kbfd	018020	Bromma	Hel	1955-01-01	40	Namnändrad (ej kodändrad)
018020	Bromma kbfd	018025	Västerled	Del	1955-01-01	12	Ger del till nybildad
018020	Enskede	018034	Enskede	Hel	1967-01-01	23	Kodändrad; annat än 20-22
018021	Lilla och Stora Essingens kbfd	018021	Essinge	Hel	1955-01-01	40	Namnändrad (ej kodändrad)
018021	Skarpnäck	018036	Skarpnäck	Hel	1967-01-01	23	Kodändrad; annat än 20-22
018021	Brännkyrka	018039	Hägersten	Del	2014-01-01	14	Ger del/delar till befintlig
018021	Brännkyrka	018034	Enskede-Årsta	Del	2015-01-01	14	Ger del/delar till befintlig
018022	Farsta	018025	Farsta	Hel	1967-01-01	23	Kodändrad; annat än 20-22
018023	Hässelby kbfd	018027	Hässelby kbfd	Hel	1957-01-01	23	Kodändrad; annat än 20-22
018023	Bromma	018027	Bromma	Hel	1967-01-01	23	Kodändrad; annat än 20-22
018024	Hovförsamlingen	018028	Hovförsamlingen	Hel	1957-01-01	23	Kodändrad; annat än 20-22
018024	Essinge	018028	Essinge	Hel	1967-01-01	23	Kodändrad; annat än 20-22
018025	Skeppsholm	018029	Skeppsholm	Hel	1955-01-01	23	Kodändrad; annat än 20-22
018025	Västerled	018029	Västerled	Hel	1967-01-01	23	Kodändrad; annat än 20-22
018026	Tyska Sankt Gertrud	018030	Tyska S:ta Gertrud	Hel	1957-01-01	23	Kodändrad; annat än 20-22
018026	Spånga kbfd	018026	Spånga	Hel	1962-01-01	40	Namnändrad (ej kodändrad)
018026	Spånga	018034	Spånga kbfd	Hel	1966-01-01	33	Kod- och namnändrad; annat än 30-32
018027	Finska	018031	Finska	Hel	1957-01-01	23	Kodändrad; annat än 20-22
018027	Hässelby kbfd	018027	Hässelby	Hel	1962-01-01	40	Namnändrad (ej kodändrad)
018027	Hässelby	018038	Hässelby	Hel	1967-01-01	23	Kodändrad; annat än 20-22
018028	Hovförsamlingen	018090	Hovförsamlingen	Hel	1967-01-01	23	Kodändrad; annat än 20-22
018028	Essinge	018019	Västermalm	Hel	2014-01-01	10	Upphör; till befintlig
018029	Skeppsholm	018091	Skeppsholm	Hel	1967-01-01	23	Kodändrad; annat än 20-22
018030	Tyska S:ta Gertrud	018092	Tyska S:ta Gertrud	Hel	1967-01-01	33	Kod- och namnändrad; annat än 30-32
018030	Spånga kbfd	018030	Spånga	Hel	1974-01-01	40	Namnändrad (ej kodändrad)
018030	Spånga	018041	Spånga kbfd	Del	1976-01-01	11	Upphör; till nybildad
018030	Spånga	018042	Kista kbfd	Del	1976-01-01	11	Upphör; till nybildad
018031	Finska	018093	Finska	Hel	1967-01-01	23	Kodändrad; annat än 20-22
018031	Vällingby kbfd	018031	Vällingby	Hel	1974-01-01	40	Namnändrad (ej kodändrad)
018032	Hägerstens östra kbfd	018039	Hägersten	Hel	1969-01-01	11	Upphör; till nybildad
018032	Hägerstens östra kbfd	018033	Hägerstens västra kbfd	Del	1963-01-01	12	Ger del till nybildad
018033	Hägerstens västra kbfd	018039	Hägersten	Del	1969-01-01	11	Upphör; till nybildad
018033	Hägerstens västra kbfd	018040	Skärholmen	Del	1969-01-01	11	Upphör; till nybildad
018034	Spånga kbfd	018030	Spånga kbfd	Hel	1967-01-01	23	Kodändrad; annat än 20-22
018034	Enskede	018034	Enskede-Årsta	Hel	2008-01-01	40	Namnändrad (ej kodändrad)
018034	Enskede-Årsta	018034	Enskede-Årsta	Hel	2015-01-01	15	Utvidgas
018034	Spånga kbfd	018035	Vällingby kbfd	Del	1966-01-01	12	Ger del till nybildad
018035	Vällingby kbfd	018031	Vällingby kbfd	Hel	1967-01-01	23	Kodändrad; annat än 20-22
018039	Hägersten	018021	Brännkyrka	Del	2014-01-01	14	Ger del/delar till befintlig
018039	Hägersten	018039	Hägersten	Hel	1969-01-01	16	Utvidgas och namnändras
018041	Spånga kbfd	018041	Spånga	Hel	1980-01-01	40	Namnändrad (ej kodändrad)
018041	Spånga	018041	Spånga-Kista	Hel	2010-01-01	16	Utvidgas och namnändras
018042	Kista kbfd	018042	Kista	Hel	1980-01-01	40	Namnändrad (ej kodändrad)
018042	Kista	018041	Spånga-Kista	Hel	2010-01-01	10	Upphör; till befintlig
018101	Södertälje	018101	Södertälje-Tveta	Hel	2002-01-01	16	Utvidgas och namnändras
018101	Södertälje-Tveta	018101	Södertälje	Hel	2010-01-01	16	Utvidgas och namnändras
018101	Södertälje	018112	Västertälje	Del	1973-01-01	12	Ger del till nybildad
018103	Tveta	018101	Södertälje-Tveta	Hel	2002-01-01	10	Upphör; till befintlig
018105	Turinge	014001	Turinge	Hel	1999-01-01	21	Kodändrad; ny kommuntillhörighet
018109	Taxinge	014002	Taxinge	Hel	1999-01-01	21	Kodändrad; ny kommuntillhörighet
018110	Hölö	018110	Hölö-Mörkö	Hel	2010-01-01	16	Utvidgas och namnändras
018111	Mörkö	018110	Hölö-Mörkö	Hel	2010-01-01	10	Upphör; till befintlig
018112	Västertälje	018101	Södertälje	Hel	2010-01-01	10	Upphör; till befintlig
018401	Solna	018401	Solna	Hel	2008-01-01	15	Utvidgas
018402	Råsunda	018401	Solna	Hel	2008-01-01	10	Upphör; till befintlig
018501	Danderyd, del	016201	Danderyd	Hel	1971-01-01	10	Upphör; till befintlig
018601	Lidingö	018601	Lidingö	Hel	2012-01-01	15	Utvidgas
018602	Vaxholm, del	018601	Lidingö	Hel	2012-01-01	10	Upphör; till befintlig
018701	Vaxholm	018602	Vaxholm, del	Del	2011-01-01	12	Ger del till nybildad
018701	Vaxholm	018701	Vaxholm, del	Hel	2011-01-01	40	Namnändrad (ej kodändrad)
018701	Vaxholm, del	018701	Vaxholm	Hel	2012-01-01	40	Namnändrad (ej kodändrad)
018702	Östra Ryd	011701	Östra Ryd	Hel	1983-01-01	21	Kodändrad; ny kommuntillhörighet
018703	Österåker	011702	Österåker	Hel	1983-01-01	21	Kodändrad; ny kommuntillhörighet
018704	Ljusterö	011703	Ljusterö	Hel	1983-01-01	21	Kodändrad; ny kommuntillhörighet
018705	Roslags-Kulla	011704	Roslags-Kulla	Hel	1983-01-01	21	Kodändrad; ny kommuntillhörighet
018801	Norrtälje	018801	Norrtälje-Malsta	Hel	2001-01-01	16	Utvidgas och namnändras
018802	Björkö-Arholma	018803	Väddö och Björkö-Arholma	Hel	2014-01-01	10	Upphör; till befintlig
018803	Väddö	018803	Väddö och Björkö-Arholma	Hel	2014-01-01	16	Utvidgas och namnändras
018803	Väddö och Björkö-Arholma	018803	Väddö	Hel	2018-01-01	16	Utvidgas och namnändras
018804	Singö	018805	Häverö-Singö	Hel	2006-01-01	10	Upphör; till befintlig
018805	Häverö	018805	Häverö-Singö	Hel	2006-01-01	16	Utvidgas och namnändras
018805	Häverö-Singö	018805	Häverö-Edebo-Singö	Hel	2010-01-01	16	Utvidgas och namnändras
018805	Häverö-Edebo-Singö	018803	Väddö	Del	2018-01-01	14	Ger del/delar till befintlig
018805	Häverö-Edebo-Singö	018805	Häverö-Edebo-Singö	Hel	2018-01-01	40	Namnändrad (ej kodändrad)
018805	Häverö-Edebo-Singö	018805	Häverö-Edebo	Hel	2018-01-01	40	Namnändrad (ej kodändrad)
018805	Häverö-Edebo-Singö	018803	Väddö	Del	2018-01-01	14	Ger del/delar till befintlig
018805	Häverö-Edebo-Singö	018805	Häverö-Edebo-Singö	Hel	2018-01-01	40	Namnändrad (ej kodändrad)
018805	Häverö-Edebo-Singö	018805	Häverö-Edebo	Hel	2018-01-01	40	Namnändrad (ej kodändrad)
018806	Edebo	018805	Häverö-Edebo-Singö	Hel	2010-01-01	10	Upphör; till befintlig
018807	Ununge	018808	Edsbro-Ununge	Hel	2010-01-01	10	Upphör; till befintlig
018808	Edsbro	018808	Edsbro-Ununge	Hel	2010-01-01	16	Utvidgas och namnändras
018811	Rö	018812	Husby, Skederid och Rö	Hel	2008-01-01	10	Upphör; till befintlig
018812	Skederid	018812	Husby, Skederid och Rö	Hel	2008-01-01	16	Utvidgas och namnändras
018813	Husby-Sjuhundra	018812	Husby, Skederid och Rö	Hel	2008-01-01	10	Upphör; till befintlig
018816	Malsta	018801	Norrtälje-Malsta	Hel	2001-01-01	10	Upphör; till befintlig
018818	Estuna	018818	Estuna och Söderby-Karl	Hel	2006-01-01	16	Utvidgas och namnändras
018819	Söderby-Karl	018818	Estuna och Söderby-Karl	Hel	2006-01-01	10	Upphör; till befintlig
018820	Roslags-Bro	018820	Roslagsbro-Vätö	Hel	2010-01-01	16	Utvidgas och namnändras
018821	Vätö	018820	Roslagsbro-Vätö	Hel	2010-01-01	10	Upphör; till befintlig
018901	Östhammar	038201	Östhammar	Hel	1971-01-01	20	Kodändrad; ny länstillhörighet
018902	Forsmark	038202	Forsmark	Hel	1971-01-01	20	Kodändrad; ny länstillhörighet
018903	Valö	038203	Valö	Hel	1971-01-01	20	Kodändrad; ny länstillhörighet
018904	Börstil	038204	Börstil	Hel	1971-01-01	20	Kodändrad; ny länstillhörighet
018905	Hökhuvud	038205	Hökhuvud	Hel	1971-01-01	20	Kodändrad; ny länstillhörighet
018906	Harg	038206	Harg	Hel	1971-01-01	20	Kodändrad; ny länstillhörighet
018907	Öregrund	038207	Öregrund	Hel	1971-01-01	20	Kodändrad; ny länstillhörighet
018908	Gräsö	038208	Gräsö	Hel	1971-01-01	20	Kodändrad; ny länstillhörighet
019101	Sigtuna	019101	Sigtuna	Hel	2002-01-01	15	Utvidgas
019102	S:t Olof	019101	Sigtuna	Hel	2002-01-01	10	Upphör; till befintlig
019103	S:t Per	019101	Sigtuna	Hel	2002-01-01	10	Upphör; till befintlig
019104	Haga	019101	Sigtuna	Hel	2002-01-01	10	Upphör; till befintlig
019105	Odensala	019106	Husby-Ärlinghundra	Hel	1998-01-01	10	Upphör; till befintlig
019106	Husby-Ärlinghundra	019106	Husby-Ärlinghundra	Hel	1998-01-01	15	Utvidgas
019106	Husby-Ärlinghundra	019112	Valsta	Del	1998-01-01	12	Ger del till nybildad
019107	Skånela	019108	Norrsunda	Hel	1998-01-01	10	Upphör; till befintlig
019108	Norrsunda	019108	Norrsunda	Hel	1998-01-01	15	Utvidgas
019109	Skepptuna	019109	Skepptuna	Hel	1998-01-01	15	Utvidgas
019110	Lunda	019109	Skepptuna	Hel	1998-01-01	10	Upphör; till befintlig
019111	Vidbo	019109	Skepptuna	Hel	1998-01-01	10	Upphör; till befintlig
019203	Torö	019204	Ösmo-Torö	Hel	2006-01-01	10	Upphör; till befintlig
019204	Ösmo	019204	Ösmo-Torö	Hel	2006-01-01	16	Utvidgas och namnändras
020101	Forsmark	028902	Forsmark	Hel	1957-01-01	21	Kodändrad; ny kommuntillhörighet
020102	Valö	028903	Valö	Hel	1957-01-01	21	Kodändrad; ny kommuntillhörighet
020103	Börstil	028904	Börstil	Hel	1957-01-01	21	Kodändrad; ny kommuntillhörighet
020104	Hökhuvud	028905	Hökhuvud	Hel	1957-01-01	21	Kodändrad; ny kommuntillhörighet
020105	Harg	028906	Harg	Hel	1957-01-01	21	Kodändrad; ny kommuntillhörighet
020201	Björkö-Arholma	010201	Björkö-Arholma	Hel	1968-01-01	23	Kodändrad; annat än 20-22
020202	Väddö	010202	Väddö	Hel	1968-01-01	23	Kodändrad; annat än 20-22
020301	Singö	010301	Singö	Hel	1968-01-01	23	Kodändrad; annat än 20-22
020302	Häverö	010302	Häverö	Hel	1968-01-01	23	Kodändrad; annat än 20-22
020303	Edebo	010303	Edebo	Hel	1968-01-01	23	Kodändrad; annat än 20-22
020304	Ununge	010304	Ununge	Hel	1968-01-01	23	Kodändrad; annat än 20-22
020401	Edsbro	010401	Edsbro	Hel	1968-01-01	23	Kodändrad; annat än 20-22
020402	Knutby	010402	Knutby	Hel	1968-01-01	23	Kodändrad; annat än 20-22
020403	Bladåker	010403	Bladåker	Hel	1968-01-01	23	Kodändrad; annat än 20-22
020404	Faringe	010404	Faringe	Hel	1968-01-01	23	Kodändrad; annat än 20-22
020500	Almunge	020501	Almunge	Hel	1967-01-01	23	Kodändrad; annat än 20-22
